Positron Veto
t0_0 -2.35925
t0_1 -2.30022
t0_2 -2.24049
t0_3 -2.48056
t0_4 -2.66731
t0_5 -2.61064
t0_6 -2.08944
t0_7 -2.08264
t0_8 -2.08821
t0_9 -2.03977
t0_10 -1.41603
t0_11 -1.39535
t0_12 -1.7344
t0_13 -1.82549
t0_14 -1.60854
t0_15 -1.47124
t0_16 -1.7462
t0_17 -1.74452
t0_18 -1.45059
t0_19 -1.57852
t0_20 -1.48615
t0_21 -1.60132
t0_22 -1.64279
t0_23 -1.1459
t0_24 -1.14547
t0_25 -1.40698
t0_26 -1.23666
t0_27 -0.951445
t0_28 -1.11062
t0_29 -0.939463
t0_30 -0.980951
t0_31 -0.974645
t0_32 -1.07788
t0_33 -1.16141
t0_34 -0.666446
t0_35 -0.902827
t0_36 -1.59098
t0_37 -0.964804
t0_38 -0.725653
t0_39 -0.606773
t0_40 -0.866592
t0_41 -1.02604
t0_42 -0.589197
t0_43 -0.50868
t0_44 -0.76777
t0_45 -0.750503
t0_46 -0.16917
t0_47 0.0119137
t0_48 -3.71764
t0_49 -3.60227
t0_50 -3.02379
t0_51 -3.29494
t0_52 -3.52877
t0_53 -3.33183
t0_54 -3.22225
t0_55 -3.06703
t0_56 -3.30747
t0_57 -3.1651
t0_58 -2.67534
t0_59 -2.91859
t0_60 -3.05232
t0_61 -2.92384
t0_62 -2.70084
t0_63 -2.61986
t0_64 -3.13824
t0_65 -2.959
t0_66 -2.48972
t0_67 -2.63038
t0_68 -2.89092
t0_69 -2.69131
t0_70 -2.71631
t0_71 -2.2559
t0_72 -2.36946
t0_73 -2.65907
t0_74 -2.77622
t0_75 -2.70276
t0_76 -2.99335
t0_77 -2.91493
t0_78 -2.67472
t0_79 -2.72884
t0_80 -3.38279
t0_81 -3.22058
t0_82 -2.74067
t0_83 -3.18358
t0_84 -2.97238
t0_85 -3.30684
t0_86 -3.26838
t0_87 -3.37057
t0_88 -3.86622
t0_89 -4.36553
HEP Veto
t0_0 34.6997
t0_1 34.7105
t0_2 34.5571
t0_3 34.4223
t0_4 34.9339
t0_5 34.5241
t0_6 34.3252
t0_7 34.5126
t0_8 34.9953
t0_9 34.6834
t0_10 34.2786
t0_11 34.3644
t0_12 34.5377
t0_13 34.8828
t0_14 34.0645
t0_15 33.984
t0_16 33.6928
t0_17 33.3411
t0_18 33.9573
t0_19 34.2143
t0_20 33.6186
t0_21 33.5044
t0_22 34.0851
t0_23 34.0786
t0_24 33.4071
t0_25 33.3562
t0_26 33.485
t0_27 33.7115
t0_28 33.2015
t0_29 33.662
t0_30 33.8984
t0_31 33.6268
ECal
Common t0	22.7237
EVeto
Common t0	34.8634
