 PositionAtECAL: Run = 30201 (X,Y) = ( -2.82 , -2.74 )           PositionAtTarget: Run = 30201 (X,Y) = ( 0. , 0. ) 
 PositionAtECAL: Run = 30226 (X,Y) = ( -0.51 , -2.29 )           PositionAtTarget: Run = 30226 (X,Y) = ( 0. , 0. )	
 PositionAtECAL: Run = 30227 (X,Y) = ( -0.31 , -2.82 )           PositionAtTarget: Run = 30227 (X,Y) = ( 0. , 0. ) 
 PositionAtECAL: Run = 30228 (X,Y) = ( -0.67 , -2.55 )           PositionAtTarget: Run = 30228 (X,Y) = ( 0. , 0. )	
 PositionAtECAL: Run = 30229 (X,Y) = ( -0.82 , -3.37 )           PositionAtTarget: Run = 30229 (X,Y) = ( 0. , 0. ) 	
 PositionAtECAL: Run = 30241 (X,Y) = ( -2.46 , -1.75 )           PositionAtTarget: Run = 30241 (X,Y) = ( 0. , 0. ) 	
 PositionAtECAL: Run = 30252 (X,Y) = ( -0.83 , -2.43 )           PositionAtTarget: Run = 30252 (X,Y) = ( 0. , 0. ) 	
 PositionAtECAL: Run = 30258 (X,Y) = (  0.83 ,  1.80 )           PositionAtTarget: Run = 30258 (X,Y) = ( 0. , 0. ) 	
 PositionAtECAL: Run = 30364 (X,Y) = ( 1.58047 , 1.42594 )       PositionAtTarget: Run = 30364 (X,Y) = ( 1.901566409 , 0.8205736528 )
 PositionAtECAL: Run = 30366 (X,Y) = ( 5.83517 , 2.98159 ) 	 PositionAtTarget: Run = 30366 (X,Y) = ( 3.650264999 , 0.7422397297 )
 PositionAtECAL: Run = 30369 (X,Y) = ( 1.94603 , 1.13799 ) 	 PositionAtTarget: Run = 30369 (X,Y) = ( 3.41938036 , 0.7422397297 ) 
 PositionAtECAL: Run = 30370 (X,Y) = ( 1.83429 , 0.337031 ) 	 PositionAtTarget: Run = 30370 (X,Y) = ( 3.613510385 , 0.7408046014 )
 PositionAtECAL: Run = 30371 (X,Y) = ( 1.83429 , 1.12853 ) 	 PositionAtTarget: Run = 30371 (X,Y) = ( 3.375639451 , 0.7327812905 )
 PositionAtECAL: Run = 30372 (X,Y) = ( 1.7843 , 0.738566 ) 	 PositionAtTarget: Run = 30372 (X,Y) = ( 3.375639451 , 0.7373349606 )
 PositionAtECAL: Run = 30374 (X,Y) = ( 1.98114 , 1.62316 ) 	 PositionAtTarget: Run = 30374 (X,Y) = ( 3.375639451 , 0.745147323 ) 
 PositionAtECAL: Run = 30378 (X,Y) = ( 3.77634 , 1.32172 ) 	 PositionAtTarget: Run = 30378 (X,Y) = ( 3.344361635 , 0.7959756866 )
