#RunNumber = 677
# period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax,sigmay,err_sigmay
0,91447.5,302.403,38417.4,196.004,170.459,0.190139,182.609,1.22788,43.6116,0,72.7107,0
1,88324.6,297.195,37216.4,192.916,171.599,0.184811,181.122,1.21029,44.0977,0,70.2591,0
2,91345.6,302.234,36300.8,190.528,171.125,0.151646,185.907,1.34472,43.8561,0,70.6822,0
3,97331.1,311.979,39404.4,198.505,170.974,0.174448,184.364,1.15209,43.1908,0,68.4849,0
4,84735.8,291.094,38981.6,197.437,172.391,0.187364,183.347,1.13942,45.04,0,71.2174,0
5,93387,305.593,38855.5,197.118,171.281,0.161441,185.853,1.18355,43.9041,0,74.6738,0
6,87255.1,295.39,37343.7,193.245,171.906,0.177346,185.148,1.57545,44.9082,0,73.8638,0
7,88360.6,297.255,37328.6,193.206,171.422,0.189077,184.111,1.28436,43.9231,0,73.5354,0
8,87695.9,296.135,39698.5,199.245,171.046,0.202613,166.107,1.05689,45.3869,0,60.9823,0
9,86399.9,293.939,36836.2,191.928,171.409,0.189539,185.038,1.33695,44.2815,0,73.0673,0
