#RunNumber = 534
# period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax,sigmay,err_sigmay
0,5.24605e+07,147017,2.00422e+07,51329.9,176.406,0.113234,174.319,0.141507,40.4057,0.080069,55.2526,0.100061
1,5.34074e+07,149681,2.04565e+07,52351.3,176.449,0.113209,174.375,0.141027,40.3938,0.0800511,55.107,0.0997216
2,5.4054e+07,150574,2.05706e+07,52350.3,176.583,0.112591,174.308,0.140562,40.4188,0.0796145,55.2328,0.0993928
3,5.18486e+07,145149,1.98997e+07,51015.8,176.774,0.112965,174.421,0.140938,40.3522,0.0798787,54.9757,0.0996587
4,5.29479e+07,148426,2.02431e+07,51836.6,176.583,0.113263,174.419,0.141402,40.4042,0.0800896,55.2199,0.0999865
5,5.36903e+07,150075,2.05533e+07,52573.6,176.52,0.113047,174.294,0.141148,40.4433,0.0799368,55.181,0.0998073
6,5.2393e+07,146828,1.99557e+07,51186.4,176.74,0.113274,174.555,0.141627,40.4199,0.0800974,55.2152,0.100146
7,5.32678e+07,149269,2.0344e+07,52001.7,176.657,0.113143,174.727,0.141379,40.3761,0.0800048,55.31,0.0999702
8,5.46365e+07,153054,2.0854e+07,53281.2,176.62,0.113366,174.287,0.140896,40.4689,0.080162,55.1458,0.0996285
9,5.39341e+07,151421,2.06724e+07,52926.3,176.582,0.113635,174.493,0.141515,40.4753,0.0803524,55.2742,0.100067
