#RunNumber = 677
# period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax,sigmay,err_sigmay
0,8.57254e+07,229928,3.43426e+07,80286.9,173.474,0.11818,177.729,0.14796,44.0616,0.0835658,63.2897,0.104624
1,9.26747e+07,248930,3.78598e+07,89130,173.549,0.118791,175.863,0.147204,44.2249,0.083998,62.5278,0.104089
2,1.08112e+08,284359,4.54955e+07,104546,173.056,0.117184,175.804,0.142273,44.553,0.0828619,61.9134,0.100603
3,1.06396e+08,281435,4.4787e+07,103309,172.915,0.117863,175.515,0.143007,44.5579,0.0833419,61.9972,0.101122
4,1.07461e+08,283638,4.5137e+07,103926,173.041,0.117656,175.671,0.142734,44.576,0.0831954,61.9922,0.100928
5,1.08459e+08,286210,4.57816e+07,105323,173.061,0.117565,176.307,0.142716,44.5509,0.083131,62.0353,0.100915
6,1.10018e+08,289894,4.65801e+07,107074,173.03,0.117534,176.695,0.14266,44.6052,0.0831093,62.0613,0.100876
7,1.08072e+08,286608,4.5755e+07,105826,173.171,0.118225,176.685,0.143247,44.5794,0.0835977,61.9342,0.101291
8,1.07522e+08,284239,4.52393e+07,104090,173.288,0.117616,176.841,0.143008,44.492,0.0831677,62.1541,0.101123
9,1.04743e+08,279057,4.41322e+07,102441,173.109,0.118623,177.226,0.144411,44.5247,0.0838793,62.213,0.102114
