=== X calibration coefficients ===
cX[1] = 0.89988 ± 0.0708896
cX[2] = 1.90028 ± 0.353592
cX[3] = 0.991797 ± 0.0377493
cX[4] = 1.1526 ± 0.0438603
cX[5] = 0.449997 ± 0.0466126
cX[6] = 0.444382 ± 0.042348
cX[7] = 1.28176 ± 0.098531
cX[8] = 0.809637 ± 0.162734
cX[9] = -1.45929 ± 0.351763
cX[10] = 2.9843 ± 0.382875
cX[11] = 3.2499 ± 0.451243
cX[12] = -3.67656 ± 0.729253
cX[13] = -1.34284 ± 0.407503
cX[14] = 10.2099 ± 1.69432

=== Y calibration coefficients ===
cY[1] = -5.03052 ± 0.984885
cY[2] = -13.7093 ± 2.40228
cY[3] = -10.3133 ± 1.84764
cY[4] = 1 ± 0.0141421
cY[5] = -3.91732 ± 0.210703
cY[6] = -0.267958 ± 0.0348133
cY[7] = 1.48065 ± 0.0214178
cY[8] = 1.25527 ± 0.0296564
cY[9] = 174.896 ± 3.89794
cY[10] = -118.443 ± 1.16959
cY[11] = 4.22413 ± 1.0367
cY[12] = -184.898 ± 3.25763
cY[13] = -81.7527 ± 2.95303
cY[14] = 32.8646 ± 0.980046
