run,target_ch,c_minus1,err_minus1,c0,err0,c_plus1,err_plus1
80166,4,-0.402812,0.0163117,1.43128,0.00610967,-1.02873,0.0155386
80167,11,-1.02869,0.0239905,1.54811,0.00808706,-0.616679,0.0187152
80168,5,-0.886501,0.0130389,0.993976,0.0182526,0.853422,0.0195268
80169,10,-1.19974,0.0111025,1.1143,0.00767922,0.226409,0.0136285
80170,6,0.712545,0.0445829,-2.25301,0.0228627,1.69252,0.0239034
80171,9,-0.121021,0.066713,1.37917,0.00749635,-1.23469,0.0597032
80173,7,-1.46785,6.02537e-17,1.22696,5.17851e-17,0.0265112,3.0187e-18
80174,8,0.2,0.00282843,25.2538,0.00262074,-23.8058,0.00351824
80175,12,-0.355796,0.0272912,1.52711,0.00670261,-1.0915,0.0270537
80176,3,-1.26994,0.0169782,1.20426,0.0117312,0.166048,0.0214079
80177,13,-1.63061,0.0206481,1.12115,0.015541,0.680098,0.0315691
80178,2,-1.753,0.0184919,1.62794,0.0179903,0.225191,0.0294964
80179,14,-1.2707,0.0242238,1.91574,0.00686724,-0.40866,0.0248473
80180,1,-1.88188,0.0284179,1.84574,0.00789683,0.571301,0.0242963
80181,15,-1.00342,2.49714e-17,0.504043,6.14118e-18,-2.43136,5.46015e-17
80507,19,-0.392474,0.0200155,2.35676,0.00151523,2.09003,0.0865045
80508,26,-2.50489,1.26288e-14,1.78184,1.39075e-15,-1.38989,1.63598e-14
80509,29,5.36582,0.0823596,1.12493,0.0296422,-3.78666,0.0539735
80510,25,-0.20075,0.0110546,1.40358,0.00342627,-0.852058,0.0315301
80511,30,1.24141,0.0111311,0.0903416,0.0108851,-1.93802,0.0233902
80512,31,-3.22906,0.0130543,0.0807177,0.00215284,3.6301,0.00278821
80513,23,-0.343226,0.00576004,0.989667,0.00360402,0.0472231,0.00199695
80514,16,4.07394,0.0690932,0.975827,0.00294933,-2.45983,0.0158816
80515,17,-2.10581,0.0158363,0.872664,0.000739667,4.28719,0.0707378
80516,18,1.51415,0.0895332,1.02449,0.000681799,-1.38437,0.0231267
80517,21,-2.57643,0.0966279,1.33642,0.0217736,1.25358,0.0730793
