run,X_ch,Y_ch,c_minus1_X,err_minus1_X,c0_X,err0_X,c_plus1_X,err_plus1_X,c_minus1_Y,err_minus1_Y,c0_Y,err0_Y,c_plus1_Y,err_plus1_Y,skipped
80507,4,19,0,0,0,0,0,0,0,0,0,0,0,0,1
80508,4,26,0.36866,1.66525e-15,0.838261,1.02614e-15,-0.427479,5.3489e-15,-0.798095,1.19594e-14,0.828379,1.02307e-15,-2.47479,1.26939e-14,0
80509,4,29,1.33314,0.0349926,1.46483,0.0124857,-1.69509,0.0277486,-0.518134,0.101914,-1.33331,0.0360014,0.611276,0.0635086,0
80510,4,25,0.527011,0.0240852,0.727591,0.0231182,-0.788893,0.025207,-0.213188,0.011088,0.0303625,0.0427564,0.0181587,0.043152,0
80511,4,30,1.52482,0.0214166,1.11263,0.0188013,-0.937485,0.0233957,-1.44295,0.0392813,0.156868,0.0132003,0.249675,0.0431088,0
80512,4,31,0.563832,0.0203112,0.956852,0.0102195,-0.380782,0.0187012,-0.164596,0.0286582,0.160527,0.00261669,-0.763236,0.035709,0
80513,4,23,0.249679,0.0239973,0.363199,0.020712,-0.585164,0.0229729,-0.304457,0.00821079,0.616533,0.0256293,0.0678557,0.00225039,0
80514,4,16,0.225693,0.0194013,0.50398,0.0107446,0.310225,0.0280855,-1.07223,0.0905222,0.305492,0.0119574,-1.02449,0.029459,0
80515,4,17,0.147975,0.021695,-0.145922,0.0126328,1.23785,0.0177028,-1.77397,0.0221264,0.845622,0.013556,-0.00947982,0.086403,0
80516,4,18,0.128911,0.0395417,0.185246,0.0182279,0.482251,0.0194056,0.145881,0.101904,0.593202,0.0233065,-1.14499,0.0327764,0
80517,4,21,0.328184,0.0321498,-0.427445,0.0260627,0.447954,0.0211942,-2.24751,0.0981209,1.57229,0.034697,0.90413,0.0741442,0
