run,X_ch,Y_ch,c_minus1_X,err_minus1_X,c0_X,err0_X,c_plus1_X,err_plus1_X,c_minus1_Y,err_minus1_Y,c0_Y,err0_Y,c_plus1_Y,err_plus1_Y,skipped
80507,4,19,0,0,0,0,0,0,0,0,0,0,0,0,1
80508,4,26,0.651461,0.0336284,0.887394,0.0214074,8.32372,0.605119,-20.9485,1.34653,0.950795,0.0223353,4.39929,0.267371,0
80509,4,29,0.585163,0.167722,0.791145,0.0832351,3.72782,1.53621,1.51099,0.352724,1.25309,0.175714,2.77645,0.693197,0
80510,4,25,0.36922,0.128424,0.683909,0.0636801,5.09781,3.71703,0.925548,0.291425,0.824107,0.0900155,3.20913,1.20865,0
80511,4,30,0.386593,0.0395865,0.675443,0.0156901,-0.000857654,0.0515409,0.36117,0.030044,0.651571,0.023561,-6.92797,0.157042,0
80512,4,31,0.347801,0.0339488,0.652166,0.0119822,1.00255,0.184341,18.0536,0.532173,0.0275166,0.0170644,1.77818,0.047042,0
80513,4,23,1.35439,0.0334698,0.538238,0.00907407,-1.74936,0.148992,4.3645,0.148837,0.999159,0.0101801,0.219329,0.00476349,0
80514,4,16,0.512229,0.0596922,0.652847,0.0101033,0.687179,0.0931393,7.03587,0.460917,0.844592,0.0164919,-3.85282,0.273266,0
80515,4,17,1.48214,0.0593471,0.289581,0.00674349,1.73012,0.0480566,0.747022,0.16543,0.759474,0.00748063,15.54,1.07983,0
80516,4,18,-11.9023,0.188816,1.07576,0.00723495,0.436827,0.0307548,-2.24119,0.718534,0.790205,0.0118749,8.60324,0.439362,0
80517,4,21,-2.25203,0.070666,0.619489,0.00645299,1.51856,0.0218424,0.411705,0.0272381,0.647438,0.00622022,-3.27616,0.0497614,0
