run,X_ch,Y_ch,c_minus1_X,err_minus1_X,c0_X,err0_X,c_plus1_X,err_plus1_X,c_minus1_Y,err_minus1_Y,c0_Y,err0_Y,c_plus1_Y,err_plus1_Y,skipped
80507,4,19,0,0,0,0,0,0,0,0,0,0,0,0,1
80508,4,26,0.68374,0.0349268,0.907942,0.022234,8.90454,0.628483,-20.9485,1.34653,0.950795,0.0223353,4.39929,0.267371,0
80509,4,29,0.61845,0.174198,0.807664,0.0864488,4.0327,1.59553,1.51099,0.352724,1.25309,0.175714,2.77645,0.693197,0
80510,4,25,0.39399,0.133383,0.696191,0.0661388,5.81472,3.86055,0.925548,0.291425,0.824107,0.0900155,3.20913,1.20865,0
80511,4,30,0.426591,0.041115,0.691588,0.0162959,-0.00244801,0.0535308,0.36117,0.030044,0.651571,0.023561,-6.92797,0.157042,0
80512,4,31,0.378435,0.0352596,0.662978,0.0124448,1.16889,0.191458,18.0536,0.532173,0.0275166,0.0170644,1.77818,0.047042,0
80513,4,23,1.41416,0.0347621,0.546243,0.00942442,-1.62974,0.154745,4.3645,0.148837,0.999159,0.0101801,0.219329,0.00476349,0
80514,4,16,0.574131,0.0619969,0.663324,0.0104933,0.783767,0.0967354,7.03587,0.460917,0.844592,0.0164919,-3.85282,0.273266,0
80515,4,17,1.55337,0.0616384,0.300535,0.00700385,1.78685,0.0499121,0.747022,0.16543,0.759474,0.00748063,15.54,1.07983,0
80516,4,18,-12.4486,0.196106,1.1133,0.0075143,0.478058,0.0319422,-2.24119,0.718534,0.790205,0.0118749,8.60324,0.439362,0
80517,4,21,-2.2114,0.0733945,0.628682,0.00670214,1.61086,0.0226857,0.411705,0.0272381,0.647438,0.00622022,-3.27616,0.0497614,0
