#RunNumber = 80357 - EBeam = 292 - SqrtS = 17.275
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,703.29,9.99558,247.78,1.28293,0.905277,0.0030664,-4.96976,0.000585754,0.637391,2.77347
1,714.826,10.1667,257.215,1.26408,0.904598,0.00306369,-4.96999,0.000558948,0.360721,0
2,689.752,9.85312,246.942,1.30867,0.908281,0.00313373,-4.97086,0.000649751,0.361383,0
3,706.795,10.0269,253.585,1.20809,0.904135,0.00306213,-4.96921,0.000610618,0.358857,0
4,695.533,9.85368,245.606,1.17451,0.90388,0.00315222,-4.97123,0.000546902,0.359686,0
5,703.676,9.94472,248.453,1.16096,0.907365,0.00302823,-4.96947,0.000539605,0.364442,0
6,680.787,9.8748,236.738,1.68922,0.905896,0.00310806,-4.97094,0.00067737,0.686494,2.80717
7,656.574,9.7856,226.748,1.80521,0.909695,0.00319425,-4.97291,0.000667867,0.368305,0
8,685.465,9.76868,240.557,1.3266,0.905252,0.00321765,-4.97116,0.000568016,0.362428,0
9,689.711,9.83476,242.085,1.28968,0.905486,0.00308252,-4.97011,0.000573198,0.361962,0
10,724.202,10.3322,250.857,1.4718,0.904947,0.00310241,-4.96935,0.000717715,0.363315,0
11,711.734,10.1366,244.322,1.49119,0.910746,0.00302769,-4.97087,0.000688205,0.367524,0
12,718.362,10.1996,247.947,1.34686,0.906149,0.00306921,-4.97237,0.000583585,0.36187,0
13,700.822,10.0456,240.256,1.57019,0.904362,0.00318833,-4.97182,0.000642998,0.366436,0
14,698.131,9.9569,237.68,1.45183,0.905892,0.00313546,-4.97267,0.00065175,0.367385,0
15,686.6,9.77917,239.061,1.27237,0.909488,0.00306797,-4.97326,0.000561883,0.629566,2.76798
16,688.494,9.76937,245.421,1.31453,0.913325,0.00294447,-4.97079,0.000630932,0.374446,0
17,688.08,9.72614,246.388,1.21816,0.918589,0.00304082,-4.971,0.000594581,0.652545,2.78401
18,677.139,9.57914,240.443,1.11872,0.912231,0.00298432,-4.97403,0.000541837,0.361316,0
19,684.757,9.80328,239.452,1.28797,0.915646,0.00305922,-4.97333,0.000579036,0.367653,0
20,666.937,9.34399,232.093,1.0749,0.911148,0.0031093,-4.97396,0.000532539,0.369811,0
21,679.062,9.8342,236.047,1.43492,0.916221,0.00315419,-4.9741,0.000686881,0.367386,0
22,655.07,9.28518,233.816,1.18468,0.91876,0.00300161,-4.97332,0.000525242,0.367085,0
23,670.44,9.5783,238.043,1.23684,0.922099,0.00298499,-4.97228,0.000565232,0.369412,0
24,660.213,9.46685,232.848,1.54604,0.916592,0.00301127,-4.97402,0.000588578,0.366694,0
25,646.791,9.35148,227.152,1.46122,0.91625,0.00312711,-4.97431,0.000650452,0.368987,0
26,669.944,9.57346,237.763,1.31822,0.921813,0.00304219,-4.97248,0.000609556,0.369703,0
27,666.489,9.4272,235.067,1.17769,0.932845,0.00292144,-4.974,0.000581988,0.373539,0
28,667.773,9.47284,238.901,1.32222,0.922746,0.00293863,-4.97283,0.00052856,0.370604,0
29,671.721,9.58903,239.458,1.41241,0.914471,0.00313694,-4.97213,0.000615756,0.370171,0
30,659.549,9.58016,232.408,1.74052,0.916943,0.00297519,-4.97383,0.000555458,0.368665,0
31,671.782,9.60047,242.521,1.33422,0.927705,0.00295337,-4.97307,0.000611553,0.363968,0
32,680.12,9.56465,243.477,1.08483,0.921528,0.0029748,-4.97181,0.000614499,0.368707,0
33,676.849,9.56158,241.283,1.21127,0.917771,0.00297465,-4.97312,0.000538537,0.367654,0
34,682.3,9.68639,240.405,1.24173,0.920639,0.00295063,-4.97167,0.00051329,0.370809,0
35,687.345,9.66173,244.805,1.17289,0.923,0.00287401,-4.97134,0.000532248,0.370394,0
36,682.003,9.67829,240.022,1.35958,0.92451,0.00296988,-4.97232,0.000543736,0.371768,0
37,687.254,9.70121,243.098,1.17456,0.924452,0.00298502,-4.97249,0.00055768,0.371113,0
