#RunNumber = 80534 - EBeam = 294.25 - SqrtS = 17.3414
#period,qx,err_qx,qy,err_qy,x,err_x,y,err_y,sigmax,err_sigmax
0,677.139,9.38104,234.473,0.818284,0.829672,0.00397539,-4.94576,0.00109757,0.290621,0
1,672.155,9.29817,232.898,0.917094,0.817256,0.00411394,-4.9476,0.00114106,0.288675,0
2,690.945,9.37891,237.658,0.787132,0.806679,0.00421429,-4.94309,0.000974946,0.288675,0
3,703.909,9.6482,244.534,0.921672,0.809723,0.00416936,-4.93458,0.00110326,0.288675,0
4,492.541,15.6253,181.341,5.27292,0.819158,0.0085366,-4.98726,0.00322951,0.288675,0
5,623.676,8.60789,220.463,0.9701,0.817458,0.00408273,-4.96731,0.000949276,0.288675,0
6,639.734,8.74365,225.946,0.684133,0.819637,0.00400227,-4.96364,0.000715823,0.288675,0
7,640.296,8.72071,224.778,0.823798,0.8102,0.0041741,-4.96521,0.00102172,0.288675,0
8,646.588,8.78484,222.276,0.797598,0.802228,0.00432682,-4.96176,0.00096622,0.288675,0
9,665.282,9.14229,231.72,0.912138,0.801869,0.00430304,-4.95566,0.00103167,0.288675,0
10,689.713,9.34592,241.311,0.727856,0.80752,0.00420628,-4.94929,0.000760514,0.288675,0
11,665.845,9.90604,231.8,1.53673,0.815489,0.00438601,-4.95359,0.00146951,0.288675,0
12,657.251,9.15511,229.981,0.856851,0.819727,0.00413036,-4.95964,0.00110945,0.288675,0
13,632.4,8.77649,221.762,0.75667,0.827753,0.00403681,-4.9686,0.000941751,0.288675,0
14,642.515,8.87002,224.593,0.778334,0.83415,0.00382759,-4.96465,0.000796373,0.633846,0
15,630.201,8.87442,223.835,0.934298,0.829041,0.00410493,-4.96625,0.00110551,0.288675,0
16,557.581,11.564,200.278,3.22173,0.832768,0.00532397,-4.97747,0.00179662,0.294839,0
17,503.498,7.78919,186.648,1.40887,0.83507,0.0042186,-4.99647,0.00161166,0.290439,0
18,560.039,7.97112,206.339,1.07924,0.834909,0.0039445,-4.98794,0.00151519,0.288675,0
19,551.409,7.90169,203.178,1.21724,0.842316,0.0037915,-4.99059,0.00159708,0.626068,2.76551
20,571.809,8.00701,207.267,0.685409,0.845515,0.00375162,-4.98329,0.00115116,0.288675,0
21,596.905,8.38189,215.751,0.874029,0.848666,0.00363402,-4.9754,0.001096,0.288675,0
22,592.605,8.37523,210.998,0.940708,0.852712,0.00360728,-4.97272,0.000840197,0.29556,0
23,572.157,8.215,199.135,0.877577,0.858185,0.00370562,-4.97558,0.000965618,0.312409,0
24,573.131,8.05766,206.127,0.768162,0.853476,0.00353484,-4.97586,0.000880049,0.291117,0
25,598.356,8.37202,215.828,0.754744,0.852872,0.00357749,-4.97049,0.000967434,0.296333,0
26,605.466,8.59565,218.717,0.951893,0.852536,0.00356526,-4.96787,0.00106373,0.294893,0
27,614.487,8.61272,216.571,0.920761,0.838191,0.0039356,-4.96499,0.00101168,0.299469,0
28,598.119,8.4557,213.286,0.764591,0.859865,0.00359446,-4.96771,0.000969047,0.30819,0
29,579.516,8.3836,212.643,0.886044,0.869248,0.00341135,-4.97462,0.00115556,0.288675,0
30,570.693,8.4764,205.402,1.14442,0.880692,0.00339248,-4.97488,0.00122841,0.288675,0
31,564.154,8.36031,202.77,1.16298,0.881191,0.00332947,-4.97659,0.00104479,0.288675,0
32,575.969,8.0574,208.814,0.733851,0.844187,0.00380467,-4.97851,0.00129588,0.288675,0
33,588.35,8.2454,211.177,0.830734,0.85257,0.00362854,-4.97372,0.0012056,0.288675,0
34,587.94,8.17306,209.105,0.850252,0.835622,0.00384151,-4.9739,0.0011058,0.288675,0
35,587.32,8.38921,208.677,0.88422,0.821882,0.00419659,-4.97362,0.00121259,0.288675,0
36,599.385,8.29379,217.316,0.867179,0.821725,0.00410599,-4.97336,0.00133431,0.288675,0
37,566.452,8.62038,208.645,1.45591,0.821972,0.00436672,-4.98321,0.00161237,0.288675,0
