# Channel Old_Q Old_C 1WfSliding_Q 1WfSliding_C 1WfSlidingCMN_Q 1WfSlidingCMN_C 1WfFixed_Q 1WfFixed_C 1WfFixedCMN_Q 1WfFixedCMN_C CumSliding_Q CumSliding_C CumSlidingCMN_Q CumSlidingCMN_C CumFixed_Q CumFixed_C CumFixedCMN_Q CumFixedCMN_C 
 0 2.607119e+05 5.671653e-02 5.941913e+05 1.292633e-01 3.501383e+04 7.617078e-03 4.562458e+05 9.925392e-02 2.808300e+05 6.109312e-02 3.756354e+03 8.171755e-04 1.270258e+01 2.763381e-06 5.811959e+02 1.264362e-04 2.529774e+03 5.503392e-04 
 1 1.856567e+05 4.038865e-02 5.321471e+05 1.157659e-01 1.345996e+04 2.928144e-03 3.248992e+05 7.068013e-02 2.531082e+05 5.506238e-02 2.970019e+03 6.461123e-04 8.936007e+00 1.943982e-06 2.916609e+01 6.344933e-06 2.524195e+03 5.491255e-04 
 2 2.009945e+05 4.372532e-02 5.447509e+05 1.185077e-01 1.488494e+04 3.238141e-03 3.517404e+05 7.651931e-02 2.535158e+05 5.515106e-02 2.939517e+03 6.394767e-04 9.689392e+00 2.107877e-06 7.852799e+01 1.708336e-05 2.524893e+03 5.492775e-04 
 3 1.925600e+05 4.189043e-02 5.460505e+05 1.187905e-01 4.704335e+04 1.023404e-02 3.369800e+05 7.330825e-02 1.618356e+05 3.520650e-02 3.160581e+03 6.875681e-04 3.268932e+01 7.111391e-06 4.052596e+01 8.816212e-06 1.414319e+03 3.076778e-04 
 4 3.136774e+06 6.823890e-01 5.324931e+06 1.158411e+00 4.178351e+06 9.089786e-01 5.489355e+06 1.194181e+00 4.242599e+06 9.229555e-01 5.336440e+04 1.160915e-02 2.738164e+03 5.956735e-04 5.474655e+04 1.190983e-02 4.094953e+03 8.908359e-04 
 5 4.519762e+04 9.832509e-03 1.293932e+05 2.814881e-02 2.935056e+05 6.385063e-02 7.909584e+04 1.720689e-02 3.879014e+05 8.438593e-02 7.397588e+02 1.609307e-04 1.513015e+02 3.291486e-05 3.387972e+01 7.370358e-06 1.494458e+03 3.251117e-04 
 6 2.371830e+05 5.159794e-02 5.766979e+05 1.254577e-01 0.000000e+00 0.000000e+00 4.150703e+05 9.029640e-02 3.635306e+05 7.908420e-02 3.698591e+03 8.046093e-04 0.000000e+00 0.000000e+00 2.622498e+02 5.705109e-05 3.898410e+03 8.480790e-04 
 7 2.600760e+05 5.657819e-02 5.882969e+05 1.279810e-01 0.000000e+00 0.000000e+00 4.551330e+05 9.901183e-02 3.635306e+05 7.908420e-02 3.409936e+03 7.418140e-04 0.000000e+00 0.000000e+00 4.564430e+02 9.929681e-05 3.898410e+03 8.480790e-04 
 8 2.404950e+05 5.231844e-02 5.696868e+05 1.239324e-01 0.000000e+00 0.000000e+00 4.208663e+05 9.155728e-02 3.635306e+05 7.908420e-02 3.497665e+03 7.608990e-04 0.000000e+00 0.000000e+00 3.342172e+02 7.270723e-05 3.898410e+03 8.480790e-04 
 9 1.869860e+05 4.067783e-02 5.344475e+05 1.162663e-01 0.000000e+00 0.000000e+00 3.272254e+05 7.118620e-02 3.635306e+05 7.908420e-02 2.826285e+03 6.148437e-04 0.000000e+00 0.000000e+00 2.829141e+01 6.154650e-06 3.898410e+03 8.480790e-04 
10 1.967736e+05 4.280707e-02 5.307454e+05 1.154609e-01 5.204918e+04 1.132303e-02 3.443537e+05 7.491238e-02 1.662428e+05 3.616527e-02 2.958004e+03 6.434985e-04 3.494480e+01 7.602060e-06 6.771108e+01 1.473020e-05 1.417329e+03 3.083325e-04 
11 8.196961e+05 1.783207e-01 1.373579e+06 2.988150e-01 1.175865e+06 2.558034e-01 1.434468e+06 3.120612e-01 1.230157e+06 2.676142e-01 1.357518e+04 2.953210e-03 7.759604e+02 1.688062e-04 1.423077e+04 3.095830e-03 2.120226e+03 4.612442e-04 
12 3.827969e+05 8.327549e-02 5.680197e+05 1.235698e-01 3.972072e+05 8.641037e-02 6.698946e+05 1.457321e-01 4.851049e+05 1.055321e-01 3.287324e+03 7.151403e-04 2.723919e+02 5.925744e-05 4.421543e+03 9.618839e-04 1.647681e+03 3.584445e-04 
13 2.323351e+05 5.054330e-02 5.621372e+05 1.222901e-01 7.244304e+04 1.575961e-02 4.065864e+05 8.845077e-02 1.891758e+05 4.115422e-02 3.298538e+03 7.175799e-04 4.165360e+01 9.061525e-06 3.175320e+02 6.907745e-05 1.432555e+03 3.116450e-04 
